id;name;description
445bf2c4-50f5-49c1-bffe-befc62e0a923;desafío Granito;cutting-edge
37038b42-d870-48a9-82df-a203c9387c1c;Pequeño;quantify
93ea5a0b-99da-4bd3-87ee-cc507a068488;Corporativo Brunei;collaborative Deportes
45e18db6-663a-44a0-a898-78cbc95d8f57;Práctico port;TCP
a0fe35f8-c8f6-4bd7-bdeb-ac8daddfad25;generating;Murcia payment
c1cecde8-a242-4c88-b28f-322ed5bb8c47;Cataluña Iran;Andorra
31e638b9-749c-445d-ad46-e6790f2dc960;Turquia Navarra;web-readiness Baleares port
6fd3ee59-d875-424b-8054-820632a9a3fb;Distrito;Algodón
0c6fcbba-28d2-4cfb-a7aa-25d3da44295b;deposit AI;Central Grupo
dafc485e-3048-44b7-b4ea-651c0c6849de;Práctico Inversor;Taka Berkshire virtual
